# account,total,base,early,referral,loyalty,guaranteed
14rzbF3a21Bucxqw1ysQcTeTTk4136ZNFdZhcW84AUmnD6qj,55.0,50.0,5.0,0,0,0
1344zprT7A4VFrQ46GJycLrjhBoYjf1RcsjbRLmk5DtsYshV,28757.831553600005,28757.831553600005,0.0,0,0,0
167PToyfQrLwshXJ9cymcuW6d3FHmWos6XpAPJ1sdyjQ6iat,30.0,30.0,0.0,0,0,0
15BTUhuPJ2XNZxW23pHNtp43VuR4RdmJFhBbnXSEo4em9FLS,13.875,12.5,0.0,0.625,0.75,0
13HCekJwYwRLJttS5wGwsdh4NoqRnwVEadFEE4d3FSeLwj1U,328.125,312.5,0.0,15.625,0,0
16UVLGBUyYTMsb4L5yhQiEZBCwJSUcUvbUzrFYMFPVNzFJow,75.0,75.0,0.0,0,0,0
16i9qG4q646YGfaK5xYG1vLa83mSoxeELYabaHp4xb7cn2EA,200.0,200.0,0.0,0,0,0
12hJQKcUbHs1yR3W9vdoqZQhQJxLZGM4jCs3LrERjStby9Gx,28.5,28.5,0.0,0,0,0
1sJc6jqNYmLUcBLuUCK2JA48Qkk96xNS3znjZW6svgUcZrX,11401.630000000001,10501.630000000001,720.0,180.0,0,0
13TQodmEWJki4ZBZubVJ3YA2BqUr3GdTeXhGrBEYCcFdw7a8,39.375,37.5,0.0,1.875,0,0
12rfaJwY44TGoAZFTkLfihaArDx6WX3XSRGYAXYjixweLaYh,39.375,37.5,0.0,1.875,0,0
16rFYvjP25GV4mzz7A5MmoPLkCBJvTJtTEXK7tWA5cPM42K,12.5,12.5,0.0,0,0,0
16fk7dES1CTYgZC9EC2o7FDCMTfNJ1wfCqLcxojmSs4QUYDZ,30.0,30.0,0.0,0,0,0
1295N2Fg4MFLe4BMwZ55MyiH43tRAdGih69fK62qMWjiVFv7,12.5,12.5,0.0,0,0,0
12gdM39hCbSbz7SDUK5BazQBVTc1Y4vQN8ZT3H4Mit2dqGME,37.5,37.5,0.0,0,0,0
15E3fKzh83mtHuqjcQbE1tB6X2A9DbQqNZ1gieY5MjWUoMs2,37.5,37.5,0.0,0,0,0
1122baMYr18CfTKPqRerzM4Zthv7q6b3aJtEbugg32g39GK,416.25,375.0,0.0,18.75,22.5,0
15XKmsS8ZtdyZoBWKFJTTNZDpALW7q9jNTw34GyH5afukYUW,25.0,25.0,0.0,0,0,0
15FbT22gc9aqT1DFyfxUyPerbhyY36F4ATXFmKRVBBRvqLYF,25.0,25.0,0.0,0,0,0
16anjSqA6BgHhBTkTSn7N4cNpibFZoFVkiyGdw5RmpLr884m,20.0,20.0,0.0,0,0,0
14SP2wGY1Wan8YVcHw7ymaxZBoxTfAVin32Kw1suycjyebJF,37.5,37.5,0.0,0,0,0
1QzE4ytk28rRkjGj3BHRuvXzqCShdRqDgbnAWWzphGJdQUK,15.75,15.0,0.0,0.75,0,0
15tfTjqiYyu9drZEUZop1f1C8CMXdNEKcE9rAH1SGmyPof1Y,75.0,75.0,0.0,0,0,0
143DYKgvLzjVYwAtDmAnBdWJAjCNjALakH8Q8tCb3C5cv9sd,13.875,12.5,0.0,0.625,0.75,0
12HUc7LY46xhFKe7o9KAvEDBHmj7WzgKPMxiAo78de6d1AnB,13.25,12.5,0.0,0,0.75,0
14bD5TULu6NkeXHihyedNBbAjznV6nhmBdDCbaGP7JakBGg8,13.875,12.5,0.0,0.625,0.75,0
12RWHAza11ovgybfvDA1KLkU8fZAAmUHVXdzxGjSe65Xwtj4,2479.4650000000006,2132.7500000000005,218.75,0,127.96500000000002,0
1Kg55ok4FJaEzYKyBocvxydET5VY6SHkKLtyo5JiX3Xfu6g,15.125,12.5,0.0,1.875,0.75,0
16i4ZjB7UQEuP3gnYDJqSHjRC8bW4FacJca9Vvci2ZEpGhJ4,278.125,250.0,0.0,13.125,15.0,0
1Hz2bXCiohTaXwh6xJLxXzFK6SNdMB6z4m8DjLM9p7Y4t8d,12.5,12.5,0.0,0,0,0
